row,original_id,field_name,original_value,varied_value,variation_type,entity_type,duplicate_id
105,3b813bac-b33d-4887-8bff-f1a54dfd1f09,personName,Justin Lawson,Lawson Justin,Name Order Change,Person,Person106
105,3b813bac-b33d-4887-8bff-f1a54dfd1f09,birthDate,1998-07-23,,omission,Person,Person106
106,059b0583-fde2-4f93-8e6f-1ca7271e2d2f,knowsLanguage,et,,omission,Person,Person107
106,059b0583-fde2-4f93-8e6f-1ca7271e2d2f,jobTitle,Vision Therapist,Vsiion Therapist,Job Title Typo,HealthcarePersonnel,Person107
107,06722257-bde3-4232-82d5-afa942d09119,jobTitle,Respiratory Therapist,Respiratory Theraipst,Job Title Typo,HealthcarePersonnel,Person108
107,06722257-bde3-4232-82d5-afa942d09119,personName,Shannon Pratt,Pratt Shannon,Name Order Change,Person,Person108
107,06722257-bde3-4232-82d5-afa942d09119,knowsLanguage,de,German,Language Representation Change,Person,Person108
107,06722257-bde3-4232-82d5-afa942d09119,jobTitle,Respiratory Therapist,,omission,HealthcarePersonnel,Person108
107,06722257-bde3-4232-82d5-afa942d09119,birthDate,1979-09-09,09-09-1979,Birth Date Format Change,Person,Person108
108,c25247a3-56db-49aa-87f0-17cdab34b74d,birthDate,1971-09-12,,omission,Person,Person109
108,c25247a3-56db-49aa-87f0-17cdab34b74d,jobTitle,Lung Function Technician,Lung uFnction Technician,Job Title Typo,HealthcarePersonnel,Person109
109,521d283f-6231-4268-bec9-22c004fcebd3,personName,Thomas Bell,T. Bell,Name Abbreviation,Person,Person110
109,521d283f-6231-4268-bec9-22c004fcebd3,knowsLanguage,de,,omission,Person,Person110
110,ea9f0d6e-a74b-432f-8ba2-8a39051dcf24,jobTitle,Optometrist,,omission,HealthcarePersonnel,Person111
110,ea9f0d6e-a74b-432f-8ba2-8a39051dcf24,email,nicholasbowen@healthcare.org,nicnolasbowen@healthcare.org,Email Typo,HealthcarePersonnel,Person111
110,ea9f0d6e-a74b-432f-8ba2-8a39051dcf24,jobTitle,Optometrist,Optometrits,Job Title Typo,HealthcarePersonnel,Person111
111,5975d0ad-a365-46b6-a9b0-98b2ba2a20d8,jobTitle,Vision Therapist,Vision Therapits,Job Title Typo,HealthcarePersonnel,Person112
111,5975d0ad-a365-46b6-a9b0-98b2ba2a20d8,knowsLanguage,et,,omission,Person,Person112
111,5975d0ad-a365-46b6-a9b0-98b2ba2a20d8,email,mrlarrysanford@healthcare.org,mrlagrysanford@healthcare.org,Email Typo,HealthcarePersonnel,Person112
112,d6049020-a1b0-4084-825a-07c11dda7a0f,knowsLanguage,et,,omission,Person,Person113
112,d6049020-a1b0-4084-825a-07c11dda7a0f,jobTitle,Speech Therapist,Speech Therpaist,Job Title Typo,HealthcarePersonnel,Person113
112,d6049020-a1b0-4084-825a-07c11dda7a0f,personName,Robert Miller,R. Miller,Name Abbreviation,Person,Person113
113,5e623264-7764-40b5-9d0e-be5ba683e2f4,birthDate,1986-03-05,,omission,Person,Person114
114,d8f4b142-19df-471b-8378-e81c25581591,email,dianataylor@healthcare.org,dianabaylor@healthcare.org,Email Typo,HealthcarePersonnel,Person115
114,d8f4b142-19df-471b-8378-e81c25581591,birthDate,1971-05-28,,omission,Person,Person115
115,439837fd-390c-4200-b873-62d55905d0c9,birthDate,1988-06-09,,omission,Person,Person116
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,personName,Kayla Frederick,Frederick Kayla,Name Order Change,Person,Person117
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,birthDate,1973-02-06,06-02-1973,Birth Date Format Change,Person,Person117
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,jobTitle,Medical Assistant,Medical Assitsant,Job Title Typo,HealthcarePersonnel,Person117
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,jobTitle,Medical Assistant,,omission,HealthcarePersonnel,Person117
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,knowsLanguage,de,German,Language Representation Change,Person,Person117
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,email,kaylafrederick@healthcare.org,kaylafrederxck@healthcare.org,Email Typo,HealthcarePersonnel,Person117
117,3304cdd6-e6e0-4dbb-98ec-b50d3bd80035,email,robertgarner@healthcare.org,,omission,HealthcarePersonnel,Person118
118,cb3d7725-d36c-4f98-b1c4-061136de63ac,jobTitle,Gynecologist,,omission,HealthcarePersonnel,Person119
119,406b10a3-c786-41ce-b9ad-729f555e80af,personName,Richard Austin,Austin Richard,Name Order Change,Person,Person120
119,406b10a3-c786-41ce-b9ad-729f555e80af,email,richardaustin@healthcare.org,,omission,HealthcarePersonnel,Person120
119,406b10a3-c786-41ce-b9ad-729f555e80af,birthDate,1987-07-11,11-07-1987,Birth Date Format Change,Person,Person120
119,406b10a3-c786-41ce-b9ad-729f555e80af,knowsLanguage,de,German,Language Representation Change,Person,Person120
120,ff6b8936-156a-455f-a8dd-66aa5e928c94,email,morganward@healthcare.org,morgazward@healthcare.org,Email Typo,HealthcarePersonnel,Person121
120,ff6b8936-156a-455f-a8dd-66aa5e928c94,birthDate,1994-05-20,20-05-1994,Birth Date Format Change,Person,Person121
120,ff6b8936-156a-455f-a8dd-66aa5e928c94,personName,Morgan Ward,Ward Morgan,Name Order Change,Person,Person121
120,ff6b8936-156a-455f-a8dd-66aa5e928c94,email,morganward@healthcare.org,,omission,HealthcarePersonnel,Person121
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,birthDate,1996-10-20,20-10-1996,Birth Date Format Change,Person,Person122
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,personName,Brian Santiago,Santiago Brian,Name Order Change,Person,Person122
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,jobTitle,Neurologist,,omission,HealthcarePersonnel,Person122
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,email,briansantiago@healthcare.org,briinsantiago@healthcare.org,Email Typo,HealthcarePersonnel,Person122
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,jobTitle,Neurologist,Nuerologist,Job Title Typo,HealthcarePersonnel,Person122
122,3609a69d-3b08-402b-adbd-3b474750fc5e,jobTitle,Gynecologist,,omission,HealthcarePersonnel,Person123
122,3609a69d-3b08-402b-adbd-3b474750fc5e,birthDate,1985-11-30,30-11-1985,Birth Date Format Change,Person,Person123
122,3609a69d-3b08-402b-adbd-3b474750fc5e,personName,James Barrera,J. Barrera,Name Abbreviation,Person,Person123
122,3609a69d-3b08-402b-adbd-3b474750fc5e,knowsLanguage,de,German,Language Representation Change,Person,Person123
123,b9706cc7-fe4e-4bda-b31b-00b91628299a,knowsLanguage,de,,omission,Person,Person124
124,737a9dc4-a3b2-4a58-b554-5b0c35293337,knowsLanguage,nl,,omission,Person,Person125
124,737a9dc4-a3b2-4a58-b554-5b0c35293337,email,zacharybates@healthcare.org,zahharybates@healthcare.org,Email Typo,HealthcarePersonnel,Person125
124,737a9dc4-a3b2-4a58-b554-5b0c35293337,jobTitle,Orthopedic Surgeon,Orthopedic uSrgeon,Job Title Typo,HealthcarePersonnel,Person125
125,8273304e-5be0-42fd-9d56-6614ebe1b9f9,jobTitle,Sleep Technician,Sleep Technciian,Job Title Typo,HealthcarePersonnel,Person126
125,8273304e-5be0-42fd-9d56-6614ebe1b9f9,birthDate,1993-07-02,,omission,Person,Person126
125,8273304e-5be0-42fd-9d56-6614ebe1b9f9,email,kylearnold@healthcare.org,kylyarnold@healthcare.org,Email Typo,HealthcarePersonnel,Person126
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,personName,Olivia Lee,Lee Olivia,Name Order Change,Person,Person127
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,email,olivialee@healthcare.org,oyivialee@healthcare.org,Email Typo,HealthcarePersonnel,Person127
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,birthDate,1974-07-19,19-07-1974,Birth Date Format Change,Person,Person127
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,knowsLanguage,de,German,Language Representation Change,Person,Person127
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,jobTitle,Sleep Technician,,omission,HealthcarePersonnel,Person127
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,jobTitle,Psychologist,,omission,HealthcarePersonnel,Person128
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,birthDate,1960-10-12,12-10-1960,Birth Date Format Change,Person,Person128
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,email,suzannehale@healthcare.org,suzaniehale@healthcare.org,Email Typo,HealthcarePersonnel,Person128
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,jobTitle,Psychologist,Pyschologist,Job Title Typo,HealthcarePersonnel,Person128
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,personName,Suzanne Hale,S. Hale,Name Abbreviation,Person,Person128
128,fa92f71c-a405-43b3-9c4e-c5395a1a4620,birthDate,1976-06-26,26-06-1976,Birth Date Format Change,Person,Person129
128,fa92f71c-a405-43b3-9c4e-c5395a1a4620,personName,April James,James April,Name Order Change,Person,Person129
128,fa92f71c-a405-43b3-9c4e-c5395a1a4620,birthDate,1976-06-26,,omission,Person,Person129
129,110a58a9-2956-4fbf-824e-fe9dbf9de014,knowsLanguage,nl,,omission,Person,Person130
130,82463114-c998-4211-b6f0-2f2d05249309,knowsLanguage,de,German,Language Representation Change,Person,Person131
130,82463114-c998-4211-b6f0-2f2d05249309,knowsLanguage,de,,omission,Person,Person131
130,82463114-c998-4211-b6f0-2f2d05249309,personName,Miss Dawn Evans,M. Dawn Evans,Name Abbreviation,Person,Person131
131,09eeb594-2f70-4c90-83e4-b33cabb619b1,jobTitle,Reconstructive Specialist,,omission,HealthcarePersonnel,Person132
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,knowsLanguage,de,German,Language Representation Change,Person,Person133
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,personName,Michael Garcia,Garcia Michael,Name Order Change,Person,Person133
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,email,michaelgarcia@healthcare.org,michailgarcia@healthcare.org,Email Typo,HealthcarePersonnel,Person133
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,knowsLanguage,de,,omission,Person,Person133
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,jobTitle,Plastic Surgeon,Platsic Surgeon,Job Title Typo,HealthcarePersonnel,Person133
133,0c869d23-359b-4e6c-95c2-3ab8c464b14b,personName,Carol Diaz,Diaz Carol,Name Order Change,Person,Person134
133,0c869d23-359b-4e6c-95c2-3ab8c464b14b,birthDate,1992-11-12,,omission,Person,Person134
134,f8f1c356-106a-4b37-a458-86683a3000e6,personName,Kristin Martinez,Martinez Kristin,Name Order Change,Person,Person135
134,f8f1c356-106a-4b37-a458-86683a3000e6,knowsLanguage,et,,omission,Person,Person135
134,f8f1c356-106a-4b37-a458-86683a3000e6,birthDate,1970-12-07,07-12-1970,Birth Date Format Change,Person,Person135
135,8cd90c61-d7e4-4a66-837a-1e9c382b1ae8,birthDate,1972-10-07,07-10-1972,Birth Date Format Change,Person,Person136
135,8cd90c61-d7e4-4a66-837a-1e9c382b1ae8,jobTitle,Pulmonary Function Technologist,Pulmoanry Function Technologist,Job Title Typo,HealthcarePersonnel,Person136
135,8cd90c61-d7e4-4a66-837a-1e9c382b1ae8,personName,Heidi Howard,Howard Heidi,Name Order Change,Person,Person136
135,8cd90c61-d7e4-4a66-837a-1e9c382b1ae8,email,heidihoward@healthcare.org,,omission,HealthcarePersonnel,Person136
136,e81a8b15-89e9-45d5-94e0-379a1732ed34,jobTitle,Pulmonary Function Technologist,Pulmonary Functoin Technologist,Job Title Typo,HealthcarePersonnel,Person137
136,e81a8b15-89e9-45d5-94e0-379a1732ed34,birthDate,1978-07-23,,omission,Person,Person137
137,d55300f2-663e-4500-aa45-d287615e2bb3,birthDate,1983-06-01,01-06-1983,Birth Date Format Change,Person,Person138
137,d55300f2-663e-4500-aa45-d287615e2bb3,personName,Cathy Mckenzie,Mckenzie Cathy,Name Order Change,Person,Person138
137,d55300f2-663e-4500-aa45-d287615e2bb3,jobTitle,Anesthesiology Assistant,,omission,HealthcarePersonnel,Person138
138,51972f67-9ae9-4728-97b5-99f822e3bcf6,email,meganpatel@healthcare.org,megankatel@healthcare.org,Email Typo,HealthcarePersonnel,Person139
138,51972f67-9ae9-4728-97b5-99f822e3bcf6,email,meganpatel@healthcare.org,,omission,HealthcarePersonnel,Person139
138,51972f67-9ae9-4728-97b5-99f822e3bcf6,jobTitle,Anesthesiology Assistant,Ansethesiology Assistant,Job Title Typo,HealthcarePersonnel,Person139
139,3bd47992-4df7-46d7-ba2e-21ad97cb44c2,email,edgarcowan@healthcare.org,,omission,HealthcarePersonnel,Person140
139,3bd47992-4df7-46d7-ba2e-21ad97cb44c2,email,edgarcowan@healthcare.org,edgarcgwan@healthcare.org,Email Typo,HealthcarePersonnel,Person140
140,1feb02a0-6548-49c7-bb2f-775aefa7ca69,email,chadwright@healthcare.org,chadvright@healthcare.org,Email Typo,HealthcarePersonnel,Person141
140,1feb02a0-6548-49c7-bb2f-775aefa7ca69,knowsLanguage,nl,,omission,Person,Person141
140,1feb02a0-6548-49c7-bb2f-775aefa7ca69,jobTitle,Rheumatology Nurse,Rheumatoolgy Nurse,Job Title Typo,HealthcarePersonnel,Person141
141,657fb253-4a4b-4d54-9962-7d4a54d004cc,email,geraldgill@healthcare.org,,omission,HealthcarePersonnel,Person142
142,35d8151c-f1c6-427b-8993-6bfce66ce628,jobTitle,Nutritionist,Nutritionsit,Job Title Typo,HealthcarePersonnel,Person143
142,35d8151c-f1c6-427b-8993-6bfce66ce628,email,jessicawilson@healthcare.org,jessicawicson@healthcare.org,Email Typo,HealthcarePersonnel,Person143
142,35d8151c-f1c6-427b-8993-6bfce66ce628,knowsLanguage,nl,,omission,Person,Person143
143,a2078258-1cd4-4456-bcd1-d4ae922536cc,knowsLanguage,de,,omission,Person,Person144
144,82779bb3-d0d8-4dc2-af09-d868a63efbe3,birthDate,1991-02-09,09-02-1991,Birth Date Format Change,Person,Person145
144,82779bb3-d0d8-4dc2-af09-d868a63efbe3,personName,Curtis Sanchez,C. Sanchez,Name Abbreviation,Person,Person145
144,82779bb3-d0d8-4dc2-af09-d868a63efbe3,knowsLanguage,et,,omission,Person,Person145
145,0c99725b-04a5-441d-86a9-232be797a97a,personName,Alex Garcia,Garcia Alex,Name Order Change,Person,Person146
145,0c99725b-04a5-441d-86a9-232be797a97a,email,alexgarcia@healthcare.org,,omission,HealthcarePersonnel,Person146
146,5cfa744f-c71e-4302-b61b-dc8d9650e9fd,birthDate,1996-09-16,,omission,Person,Person147
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,birthDate,1971-03-19,19-03-1971,Birth Date Format Change,Person,Person148
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,jobTitle,Pulmonary Function Technologist,,omission,HealthcarePersonnel,Person148
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person148
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,personName,Mary Gonzalez,Gonzalez Mary,Name Order Change,Person,Person148
148,ee2aafe9-9a59-4140-802c-7a6c3e3f40cc,email,melissaerickson@healthcare.org,,omission,HealthcarePersonnel,Person149
148,ee2aafe9-9a59-4140-802c-7a6c3e3f40cc,jobTitle,Anesthesiology Assistant,Anesthesiology Assitsant,Job Title Typo,HealthcarePersonnel,Person149
148,ee2aafe9-9a59-4140-802c-7a6c3e3f40cc,personName,Melissa Erickson,Erickson Melissa,Name Order Change,Person,Person149
149,24e78e1d-ea73-4f29-9759-8ac502019df9,email,lindsayscott@healthcare.org,,omission,HealthcarePersonnel,Person150
149,24e78e1d-ea73-4f29-9759-8ac502019df9,email,lindsayscott@healthcare.org,lindsaysjott@healthcare.org,Email Typo,HealthcarePersonnel,Person150
149,24e78e1d-ea73-4f29-9759-8ac502019df9,jobTitle,Cosmetic Surgery Nurse,CosmeticS urgery Nurse,Job Title Typo,HealthcarePersonnel,Person150
150,3b5e3ff8-06db-43ae-a6ca-2e67c3d101f3,email,carolinewade@healthcare.org,,omission,HealthcarePersonnel,Person151
150,3b5e3ff8-06db-43ae-a6ca-2e67c3d101f3,birthDate,1994-01-28,28-01-1994,Birth Date Format Change,Person,Person151
150,3b5e3ff8-06db-43ae-a6ca-2e67c3d101f3,personName,Caroline Wade,Wade Caroline,Name Order Change,Person,Person151
151,51853f6a-2079-4452-a531-574beba00297,personName,Angela Reed,Reed Angela,Name Order Change,Person,Person152
151,51853f6a-2079-4452-a531-574beba00297,birthDate,1986-12-23,23-12-1986,Birth Date Format Change,Person,Person152
151,51853f6a-2079-4452-a531-574beba00297,knowsLanguage,de,,omission,Person,Person152
151,51853f6a-2079-4452-a531-574beba00297,email,angelareed@healthcare.org,angenareed@healthcare.org,Email Typo,HealthcarePersonnel,Person152
151,51853f6a-2079-4452-a531-574beba00297,knowsLanguage,de,German,Language Representation Change,Person,Person152
151,51853f6a-2079-4452-a531-574beba00297,jobTitle,Respiratory Therapist,Respiratory Theraipst,Job Title Typo,HealthcarePersonnel,Person152
152,30860f35-5c27-421d-80e5-1d91eafe7d43,birthDate,2000-01-06,06-01-2000,Birth Date Format Change,Person,Person153
152,30860f35-5c27-421d-80e5-1d91eafe7d43,knowsLanguage,et,,omission,Person,Person153
152,30860f35-5c27-421d-80e5-1d91eafe7d43,jobTitle,Plastic Surgeon,Plastic Sugreon,Job Title Typo,HealthcarePersonnel,Person153
152,30860f35-5c27-421d-80e5-1d91eafe7d43,email,dawnrichards@healthcare.org,dawnricharrs@healthcare.org,Email Typo,HealthcarePersonnel,Person153
152,30860f35-5c27-421d-80e5-1d91eafe7d43,personName,Dawn Richards,D. Richards,Name Abbreviation,Person,Person153
153,1ccbaaf3-ea06-40d8-9d41-e18418cd38b5,birthDate,1979-06-11,,omission,Person,Person154
153,1ccbaaf3-ea06-40d8-9d41-e18418cd38b5,jobTitle,Cosmetic Surgery Nurse,Cosmteic Surgery Nurse,Job Title Typo,HealthcarePersonnel,Person154
154,7945f41a-232f-4fae-8be4-85f737028e97,jobTitle,Urology Nurse,,omission,HealthcarePersonnel,Person155
154,7945f41a-232f-4fae-8be4-85f737028e97,birthDate,1993-10-13,13-10-1993,Birth Date Format Change,Person,Person155
154,7945f41a-232f-4fae-8be4-85f737028e97,jobTitle,Urology Nurse,rUology Nurse,Job Title Typo,HealthcarePersonnel,Person155
154,7945f41a-232f-4fae-8be4-85f737028e97,personName,Michael Dunn,M. Dunn,Name Abbreviation,Person,Person155
154,7945f41a-232f-4fae-8be4-85f737028e97,email,michaeldunn@healthcare.org,michaelduin@healthcare.org,Email Typo,HealthcarePersonnel,Person155
155,e2fd8534-38dd-462f-96d3-3e2f09474afe,email,michaelcobb@healthcare.org,micoaelcobb@healthcare.org,Email Typo,HealthcarePersonnel,Person156
155,e2fd8534-38dd-462f-96d3-3e2f09474afe,birthDate,1970-08-15,15-08-1970,Birth Date Format Change,Person,Person156
155,e2fd8534-38dd-462f-96d3-3e2f09474afe,personName,Michael Cobb,M. Cobb,Name Abbreviation,Person,Person156
155,e2fd8534-38dd-462f-96d3-3e2f09474afe,email,michaelcobb@healthcare.org,,omission,HealthcarePersonnel,Person156
156,57843e01-93b0-48ac-8f03-8d6a08055d83,personName,Patricia Ball,P. Ball,Name Abbreviation,Person,Person157
156,57843e01-93b0-48ac-8f03-8d6a08055d83,jobTitle,Genetic Counselor,eGnetic Counselor,Job Title Typo,HealthcarePersonnel,Person157
156,57843e01-93b0-48ac-8f03-8d6a08055d83,jobTitle,Genetic Counselor,,omission,HealthcarePersonnel,Person157
156,57843e01-93b0-48ac-8f03-8d6a08055d83,birthDate,1984-02-29,29-02-1984,Birth Date Format Change,Person,Person157
157,e5e99b78-b25f-4b0f-921c-baf8ef1ac751,email,timothyspears@healthcare.org,,omission,HealthcarePersonnel,Person158
157,e5e99b78-b25f-4b0f-921c-baf8ef1ac751,personName,Timothy Spears,Spears Timothy,Name Order Change,Person,Person158
158,0116d36e-bba3-48dc-b6a1-521655d2309b,email,michaelbrown@healthcare.org,michaelbxown@healthcare.org,Email Typo,HealthcarePersonnel,Person159
158,0116d36e-bba3-48dc-b6a1-521655d2309b,jobTitle,Lung Function Technician,Lung Function Technicina,Job Title Typo,HealthcarePersonnel,Person159
158,0116d36e-bba3-48dc-b6a1-521655d2309b,jobTitle,Lung Function Technician,,omission,HealthcarePersonnel,Person159
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,jobTitle,Lung Function Technician,Lung Function Tecnhician,Job Title Typo,HealthcarePersonnel,Person160
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,birthDate,1994-06-09,09-06-1994,Birth Date Format Change,Person,Person160
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,email,lisaburke@healthcare.org,likaburke@healthcare.org,Email Typo,HealthcarePersonnel,Person160
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person160
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,birthDate,1994-06-09,,omission,Person,Person160
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,personName,Lisa Burke,Burke Lisa,Name Order Change,Person,Person160
160,65bafead-a230-4023-b2bd-c3d683ed9b5e,birthDate,1989-09-22,22-09-1989,Birth Date Format Change,Person,Person161
160,65bafead-a230-4023-b2bd-c3d683ed9b5e,email,heathergriffith@healthcare.org,,omission,HealthcarePersonnel,Person161
160,65bafead-a230-4023-b2bd-c3d683ed9b5e,personName,Heather Griffith,H. Griffith,Name Abbreviation,Person,Person161
160,65bafead-a230-4023-b2bd-c3d683ed9b5e,jobTitle,Renal Dietitian,Renal Dietitina,Job Title Typo,HealthcarePersonnel,Person161
161,0ed5be73-6d3a-48e8-bbec-7debf136f64e,birthDate,1988-01-03,,omission,Person,Person162
162,abcb17bd-a0c6-468a-a2b5-b39d8f573edc,jobTitle,Cardiovascular Surgeon,Cardiovasuclar Surgeon,Job Title Typo,HealthcarePersonnel,Person163
162,abcb17bd-a0c6-468a-a2b5-b39d8f573edc,knowsLanguage,et,,omission,Person,Person163
163,1a78701e-5c52-4557-8ae3-690a3d65d36f,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person164
163,1a78701e-5c52-4557-8ae3-690a3d65d36f,email,ashleebrown@healthcare.org,,omission,HealthcarePersonnel,Person164
163,1a78701e-5c52-4557-8ae3-690a3d65d36f,personName,Ashlee Brown,A. Brown,Name Abbreviation,Person,Person164
163,1a78701e-5c52-4557-8ae3-690a3d65d36f,jobTitle,EKG Technician,EK GTechnician,Job Title Typo,HealthcarePersonnel,Person164
164,16f27279-01c6-423f-aeea-933030b91497,personName,Joseph Martin,J. Martin,Name Abbreviation,Person,Person165
164,16f27279-01c6-423f-aeea-933030b91497,birthDate,1970-04-21,21-04-1970,Birth Date Format Change,Person,Person165
164,16f27279-01c6-423f-aeea-933030b91497,knowsLanguage,et,,omission,Person,Person165
165,f7480915-dfe1-4599-917a-9d3adb9d625e,birthDate,1999-04-26,,omission,Person,Person166
165,f7480915-dfe1-4599-917a-9d3adb9d625e,birthDate,1999-04-26,26-04-1999,Birth Date Format Change,Person,Person166
165,f7480915-dfe1-4599-917a-9d3adb9d625e,personName,Daniel James,James Daniel,Name Order Change,Person,Person166
165,f7480915-dfe1-4599-917a-9d3adb9d625e,jobTitle,ER Nurse,ER Nruse,Job Title Typo,HealthcarePersonnel,Person166
165,f7480915-dfe1-4599-917a-9d3adb9d625e,email,danieljames@healthcare.org,danialjames@healthcare.org,Email Typo,HealthcarePersonnel,Person166
166,c55c1e8a-ab91-40ba-ba15-6be5625e2cd7,jobTitle,Pharmacy Technician,,omission,HealthcarePersonnel,Person167
166,c55c1e8a-ab91-40ba-ba15-6be5625e2cd7,jobTitle,Pharmacy Technician,Pharmacy Techincian,Job Title Typo,HealthcarePersonnel,Person167
166,c55c1e8a-ab91-40ba-ba15-6be5625e2cd7,birthDate,1977-07-26,26-07-1977,Birth Date Format Change,Person,Person167
166,c55c1e8a-ab91-40ba-ba15-6be5625e2cd7,personName,Anita Boyd DDS,A. Boyd DDS,Name Abbreviation,Person,Person167
167,6daaea8b-8e2f-44db-8a1b-ef799548e082,email,tiffanyrojas@healthcare.org,tiffbnyrojas@healthcare.org,Email Typo,HealthcarePersonnel,Person168
167,6daaea8b-8e2f-44db-8a1b-ef799548e082,email,tiffanyrojas@healthcare.org,,omission,HealthcarePersonnel,Person168
167,6daaea8b-8e2f-44db-8a1b-ef799548e082,jobTitle,Pharmacy Technician,Pharmacy Techincian,Job Title Typo,HealthcarePersonnel,Person168
168,b4275c48-9ebf-4683-939f-aef5d3cce919,birthDate,1971-07-31,31-07-1971,Birth Date Format Change,Person,Person169
168,b4275c48-9ebf-4683-939f-aef5d3cce919,email,juliaross@healthcare.org,juqiaross@healthcare.org,Email Typo,HealthcarePersonnel,Person169
168,b4275c48-9ebf-4683-939f-aef5d3cce919,knowsLanguage,et,,omission,Person,Person169
168,b4275c48-9ebf-4683-939f-aef5d3cce919,personName,Julia Ross,Ross Julia,Name Order Change,Person,Person169
169,fc00a599-e902-4528-9c41-8ebdb1f60302,jobTitle,Pulmonologist,,omission,HealthcarePersonnel,Person170
169,fc00a599-e902-4528-9c41-8ebdb1f60302,jobTitle,Pulmonologist,Pumlonologist,Job Title Typo,HealthcarePersonnel,Person170
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,jobTitle,Dialysis Nurse,Dialyssi Nurse,Job Title Typo,HealthcarePersonnel,Person171
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,personName,Julie Duarte,Duarte Julie,Name Order Change,Person,Person171
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,birthDate,1998-01-06,,omission,Person,Person171
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,knowsLanguage,de,German,Language Representation Change,Person,Person171
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,email,julieduarte@healthcare.org,juliaduarte@healthcare.org,Email Typo,HealthcarePersonnel,Person171
171,5b473ab4-a29b-446d-98d6-d1114c149a2f,personName,Timothy Pena MD,T. Pena MD,Name Abbreviation,Person,Person172
171,5b473ab4-a29b-446d-98d6-d1114c149a2f,knowsLanguage,de,German,Language Representation Change,Person,Person172
171,5b473ab4-a29b-446d-98d6-d1114c149a2f,birthDate,1994-09-03,,omission,Person,Person172
171,5b473ab4-a29b-446d-98d6-d1114c149a2f,email,timothypenamd@healthcare.org,timothypenpmd@healthcare.org,Email Typo,HealthcarePersonnel,Person172
172,767f12e1-e997-45de-ab08-0e352a4e54c4,email,herbertgalloway@healthcare.org,herbertgajloway@healthcare.org,Email Typo,HealthcarePersonnel,Person173
172,767f12e1-e997-45de-ab08-0e352a4e54c4,knowsLanguage,et,,omission,Person,Person173
173,7bbb5c50-cb8a-4f19-980f-a40fc333af1f,email,michaellee@healthcare.org,,omission,HealthcarePersonnel,Person174
173,7bbb5c50-cb8a-4f19-980f-a40fc333af1f,personName,Michael Lee,Lee Michael,Name Order Change,Person,Person174
173,7bbb5c50-cb8a-4f19-980f-a40fc333af1f,birthDate,1977-12-19,19-12-1977,Birth Date Format Change,Person,Person174
174,c597f961-ba75-408f-9d5d-486513d5462f,birthDate,1982-10-15,,omission,Person,Person175
175,b9561b91-70ee-4eed-9747-26eaf92272d9,personName,Diana Navarro,D. Navarro,Name Abbreviation,Person,Person176
175,b9561b91-70ee-4eed-9747-26eaf92272d9,email,diananavarro@healthcare.org,diananavxrro@healthcare.org,Email Typo,HealthcarePersonnel,Person176
