label,left_availableLanguage,left_contactType,left_email,left_faxNumber,left_telephone,right_availableLanguage,right_contactType,right_email,right_faxNumber,right_telephone
,"['de', 'en']",Staff,Garcia.Primary@dept.healthcare.org,8263505589,416.261.9485,['nl'],het factureren,ValenciaThomas@healthcare.org,(035)-5645641,(054)-6921658
,['de'],Appointments,Cook.Endocrine@dept.healthcare.org,508-546-0002,001-408-652-2873x3602,"['de', 'en']",Referrals,Cook.nAesthesia@dept.healthcare.org,220-594-6820x8668,+1-981-413-7263x57452
,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.org,+3148-0052135,+31486-719061,['de'],Ãberweisungen,Johnson.Rheumatologic@dept.healthcare.org,957-952-6620x65098,(767)407-7108
,"['de', 'en']",Emergency,Newton.Endocrine@dept.healthcare.org,9515762700,964-588-3497x992,"['de', 'en']",Administrative,Baker@healthcare.de,001-617-585-5103x374,820-929-8300
,['de'],Referrals,Johnson.Rheumatologic@dept.healthcare.org,957-952-6620x65098,(767)407-7108,['nl'],noodgeval,Chan.Diet@dept.healthcare.org,+3146 3195626,(0953) 248826
,['et'],Staff,Fisher.Otolaryngologic@dept.healthcare.org,(619)403-5767,427.213.5480,"['de', 'en']",Notfall,Newton.Endocrine@dept.healthcare.org,9515762700,964-588-3497x992
,"['de', 'en']",Appointments,Baker.Optometric@dept.healthcare.org,001-677-770-8160x985,601.890.5258,"['de', 'en']",General Inquiries,LopezKey@healthcare.de,393-244-2176,(306)565-0300
,['nl'],Appointments,PriceRobinson.Emergency@dept.healthcare.org,057-9567127,+31298-978166,"['et', 'en']",Emergency,Daniel.Surngical@dept.healthcare.org,(417)435-0278x7680,871.274.3660
,['nl'],Emergency,FaulknerHoward.Rheumatologic@dept.healthcare.org,+31(0)11-9752436,0388-571688,"['nl', 'en']",Appointments,SnatanaShaw.Anesthesia@dept.healthcare.org,056 4421978,+31(0)71-1726268
,['de'],Referrals,GibbsReese.Infectious@dept.healthcare.org,(674)609-2621,339.362.3101,['nl'],verwijzingen,Nash.Nursing@dept.healthcare.org,041 5604324,053 6068424
,"['et', 'en']",Administrative,Fisher@healthcare.org,873.957.6070,318.777.2785x2646,['nl'],Referrals,Chan.nfectious@dept.healthcare.org,(0118)-449657,+31(0)70-5750575
,"['et', 'en']",Emergency,Arnold.Speech@dept.healthcare.org,633-885-3094x4978,563.621.3624x987,"['et', 'en']",hÃ¤daolukord,Green.Urologic@dept.healthcare.org,643.515.7458,(778)908-5327
,['nl'],Information,ValenciaThomas.Public@dept.healthcare.org,+3160-6655565,(020) 6208561,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.nl,+3148-0052135,+31486-719061
,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.org,+3148-0052135,+31486-719061,"['de', 'en']",Referrals,Cook.nAesthesia@dept.healthcare.org,220-594-6820x8668,+1-981-413-7263x57452
,"['et', 'en']",Information,Green.Community@dept.healthcare.org,+1-892-897-5956x928,001-237-952-0782x64973,"['nl', 'en']",Referrals,SantanaShaw.Rheumatologic@dept.healthcare.nl,(0834)-606772,+31(0)02 0865150
,['nl'],Emergency,Riggs.Pulmonary@dept.healthcare.org,+31(0)641 894827,(074)-6598211,"['et', 'en']",hÃ¤daolukord,Green.Urologic@dept.healthcare.org,643.515.7458,(778)908-5327
,"['de', 'en']",General Inquiries,LopezKey@healthcare.org,393-244-2176,(306)565-0300,"['nl', 'en']",Referrals,PriceRobinson.Rheumatologic@dept.healthcare.nl,+31(0)86 3381050,0901-133345
,"['et', 'en']",Emergency,Fisher.Cardiovascular@dept.healthcare.org,836.719.9370x31554,(969)675-0117x4387,"['nl', 'en']",Administrative,SantanaaShaw@healthcare.org,(000) 2489451,+31634 896769
,['nl'],Staff,FaulknerHoward.Primary@dept.healthcare.org,(0524)-583375,(051) 8323639,"['de', 'en']",Appointments,Guerrero.Geriartric@dept.healthcare.org,500.653.0708,001-299-358-0386x8709
,['de'],Emergency,LopezKey.Dentistry@dept.healthcare.org,864.370.2527x33127,352-764-2213x857,['de'],Referrals,GibbsReese.Iwnfectious@dept.healthcare.org,(674)609-2621,339.362.3101
,['nl'],Appointments,SantanaShaw.Dentistry@dept.healthcare.org,+3146-2082263,+31419-921707,"['et', 'en']",Appointments,Garrett.Otolaryhngologic@dept.healthcare.org,802-509-8453,3928436755
,['nl'],General Inquiries,Lam@healthcare.org,+31(0)33-4088601,(0844)-301912,['nl'],Appointments,PriceRobinson.Emergency@dept.healthcare.nl,057-9567127,+31298-978166
,['et'],General Inquiries,Brady@healthcare.org,610-587-3176,547.779.3615x34926,['de'],Appointments,Cook.Endocrine@dept.healthcare.de,508-546-0002,001-408-652-2873x3602
,"['de', 'en']",Appointments,ReedFry.Endocrine@dept.healthcare.org,797.626.1494x025,+1-274-335-9196,['et'],General Inquiries,Braady@healthcare.org,610-587-3176,547.779.3615x34926
,"['nl', 'en']",Referrals,Nash.Gastroenterologic@dept.healthcare.org,+31(0)082 111913,0090 292719,['et'],General Inquiries,Braady@healthcare.org,610-587-3176,547.779.3615x34926
,['nl'],Referrals,Chan.Infectious@dept.healthcare.org,(0118)-449657,+31(0)70-5750575,"['de', 'en']",Appointments,Smith.Speech@dept.healthcare.de,815-467-9103x12707,891.719.2729x010
,"['et', 'en']",Administrative,Carter@healthcare.org,951-537-5806x6065,4618126486,"['et', 'en']",Referrals,Garrett.Podiatriic@dept.healthcare.org,364-678-0347x103,936.734.8282
,"['nl', 'en']",Referrals,Nash.Neurologic@dept.healthcare.org,+31(0)67-3412904,+31(0)903-976622,"['nl', 'en']",Appointments,Nash.Anesthesia@dept.healthcare.nl,(0083) 787995,040 0925263
,['de'],Appointments,LeePatton.Dermatology@dept.healthcare.org,209-363-4597x2938,(563)742-8996x132,['de'],Information,Williams.Toxicologic@dept.healthcare.de,779-474-3605,381-716-0035x63569
,['nl'],Information,ValenciaThomas.Infectious@dept.healthcare.org,(0103) 079567,+31(0)050 475929,['de'],Ãberweisungen,Obrien.Gastroenterologic@dept.healthcare.org,+1-754-412-2438x90681,325.313.9825x177
,['de'],Information,Cook.Pulmonary@dept.healthcare.org,382-494-9741,759.370.5975x4947,['de'],Personal,Obrien.Anesthesia@dept.healthcare.org,922-656-0053x878,6013030717
,"['nl', 'en']",Media Relations,BuckBurke@healthcare.org,(0620)-743615,+31607 599449,"['de', 'en']",Billing,Garia@healthcare.org,524.492.6947x11801,+1-768-275-7738x93055
,['nl'],Staff,PriceRobinson.Dentistry@dept.healthcare.org,009 5894508,0257 193634,"['de', 'en']",Emergency,Obrein.Nursing@dept.healthcare.org,323.303.3837x25660,654-421-5099x63625
,"['de', 'en']",Information,Obrien.Geriatric@dept.healthcare.org,2518578223,680.695.9773x931,['et'],Staff,Austin.Rheuumatologic@dept.healthcare.org,(890)673-4942x31631,(403)407-5452x6468
,['nl'],Information,PriceRobinson.Gastroenterologic@dept.healthcare.org,+31664-381415,(0945) 365865,['et'],Staff,LngMartinez.Primary@dept.healthcare.org,286.250.6068,819.719.8417
,"['de', 'en']",Billing,Garcia@healthcare.org,524.492.6947x11801,+1-768-275-7738x93055,['de'],Appointments,Cook.Primary@dept.healthcare.de,696-231-6937x983,355.597.6288x1867
,"['nl', 'en']",Information,BuckBurke.Pulmonary@dept.healthcare.org,+31300-477006,0520 195182,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.nl,+3148-0052135,+31486-719061
,"['de', 'en']",Information,ReedFry.Radiography@dept.healthcare.org,(538)271-1821x53945,(834)636-1216x51002,"['nl', 'en']",verwijzingen,Lam.Urologic@dept.healthcare.org,+31(0)840-500035,+31(0)888 996052
,"['et', 'en']",Referrals,Garrett.Podiatric@dept.healthcare.org,364-678-0347x103,936.734.8282,['nl'],Staff,WilliamsWilliams.Communtiy@dept.healthcare.org,047 5469681,+31209-986267
,"['et', 'en']",Information,Bishop.Otolaryngologic@dept.healthcare.org,+1-223-450-5181x3575,262.804.0716,"['nl', 'en']",Referrals,Nash.cGastroenterologic@dept.healthcare.org,+31(0)082 111913,0090 292719
,"['et', 'en']",Information,Green.Community@dept.healthcare.org,+1-892-897-5956x928,001-237-952-0782x64973,['nl'],Information,SantanSahaw.Primary@dept.healthcare.org,+3122 5638455,048-5521781
,"['de', 'en']",Staff,Garcia.Primary@dept.healthcare.org,8263505589,416.261.9485,"['et', 'en']",Information,Arnold.Obstetric@dept.healthcare.et,+1-222-594-2249,+1-514-546-9752x519
,"['et', 'en']",Information,Green.Community@dept.healthcare.org,+1-892-897-5956x928,001-237-952-0782x64973,['de'],Referrals,Cook.Urologic@dept.healthcare.de,001-422-797-1434,001-352-890-0420
,"['et', 'en']",Appointments,Garrett.Otolaryngologic@dept.healthcare.org,802-509-8453,3928436755,['de'],Appointments,Williams.Emergency@dept.healthcare.de,(894)778-0476x370,713-613-7306
,"['nl', 'en']",Referrals,Nash.Neurologic@dept.healthcare.org,+31(0)67-3412904,+31(0)903-976622,['et'],Referrals,Brady.Musculoskelletal@dept.healthcare.org,207.723.5310x6769,654-695-1507x9259
,"['et', 'en']",Information,Austin.Rheumatologic@dept.healthcare.org,(853)964-3273x56003,651-245-5602x2960,"['de', 'en']",Information,Obrien.Otolaryngologic@dept.healthcare.de,001-561-288-0097x06829,(650)873-8401x041
,"['et', 'en']",Information,Arnold.Renal@dept.healthcare.org,5366036318,424-377-9740x712,['nl'],verwijzingen,ValenciaThomas.Pulmonary@dept.healthcare.org,(041)-7298482,+3115-3711172
,['et'],Staff,LongMartinez.Respiratory@dept.healthcare.org,(872)381-7936x662,346.622.0231,"['nl', 'en']",Referrals,WilliamsWilliams.Dentitry@dept.healthcare.org,+31(0)96 6558627,+31(0)77-5923559
,['de'],Information,Williams.Toxicologic@dept.healthcare.org,779-474-3605,381-716-0035x63569,['de'],Appointments,Johhnson.Diet@dept.healthcare.org,3017749469,623-975-8747
,['de'],Administrative,Cook@healthcare.org,(937)569-1448x5809,(869)551-6637,['de'],Referrals,Obrimen.Diet@dept.healthcare.org,+1-675-496-3345,+1-432-267-7778x59022
,['nl'],Emergency,ValenciaThomas.Geriatric@dept.healthcare.org,067-0090355,+31(0)16-6103758,"['et', 'en']",Billing,Austin@healthcare.et,8826759451,416-588-2223
,"['nl', 'en']",Referrals,Lam.Urologic@dept.healthcare.org,+31(0)840-500035,+31(0)888 996052,['nl'],verwijzingen,PriceRobinson.Neurologic@dept.healthcare.org,098 4481074,+31(0)98 7338672
,"['de', 'en']",Emergency,Smith.Pulmonary@dept.healthcare.org,001-729-457-2827,+1-910-395-3515x25390,"['de', 'en']",Information,GibbsReese.Hematologic@dept.healthcare.org,265.865.5500,+1-403-755-3875x5229
,"['de', 'en']",Staff,Guerrero.Physiotherapy@dept.healthcare.org,+1-540-271-5120,356.276.1728,"['et', 'en']",hÃ¤daolukord,Arnold.Nursing@dept.healthcare.org,375-594-9393,+1-660-751-7435x7670
,['et'],Appointments,Bishop.Pathology@dept.healthcare.org,337-222-1289,001-227-419-5814x380,"['et', 'en']",teave,Green.Community@dept.healthcare.org,+1-892-897-5956x928,001-237-952-0782x64973
,"['nl', 'en']",Emergency,FaulknerHoward.Toxicologic@dept.healthcare.org,0270 452519,059-3880588,['nl'],informatie,SantanaShaw.Surgical@dept.healthcare.org,+31(0)203-943740,034 8340854
,['nl'],Information,SantanaShaw.Primary@dept.healthcare.org,+3122 5638455,048-5521781,['de'],Information,Williams.Toxicologic@dept.healthcare.de,779-474-3605,381-716-0035x63569
,['de'],Emergency,LopezKey.Dentistry@dept.healthcare.org,864.370.2527x33127,352-764-2213x857,"['de', 'en']",Appointments,Guerrero.Toxiclogic@dept.healthcare.org,653-707-5799x3855,278.430.0803x602
,['et'],Billing,Bishop@healthcare.org,(231)226-7835,+1-945-373-2585x7675,"['de', 'en']",Emergency,Obrein.Nursing@dept.healthcare.org,323.303.3837x25660,654-421-5099x63625
,"['de', 'en']",Appointments,Baker.Optometric@dept.healthcare.org,001-677-770-8160x985,601.890.5258,"['et', 'en']",hÃ¤daolukord,Fisher.Pathology@dept.healthcare.org,(468)305-3460x795,306-360-1684x334
,['nl'],Information,Nash.Hematologic@dept.healthcare.org,0788 364600,(071)-4954446,"['et', 'en']",Information,Bishop.Otolarynglogic@dept.healthcare.org,+1-223-450-5181x3575,262.804.0716
,"['de', 'en']",Staff,Smith.Rheumatologic@dept.healthcare.org,+1-607-584-5704x04432,731-869-9906,['de'],Ãberweisungen,Johnson.Rheumatologic@dept.healthcare.org,957-952-6620x65098,(767)407-7108
,['de'],Staff,Garcia.Midwifery@dept.healthcare.org,001-224-907-5758x349,(825)518-9729,['de'],Appointments,Cook.Primary@dept.healthcare.de,696-231-6937x983,355.597.6288x1867
,['de'],Referrals,LeePatton.Hematologic@dept.healthcare.org,(831)743-2871x79740,784-732-2007x2721,"['nl', 'en']",Emergency,FaulknerHoward.Toxicoloigc@dept.healthcare.org,0270 452519,059-3880588
,['nl'],Staff,BuckBurke.Dentistry@dept.healthcare.org,032 3614982,055 4410510,"['de', 'en']",Information,Smith.Radiography@dept.healthcare.org,736.858.0559x7376,+1-441-795-0924
,"['et', 'en']",Information,Austin.Rheumatologic@dept.healthcare.org,(853)964-3273x56003,651-245-5602x2960,['et'],personal,Mathis.Psychiatric@dept.healthcare.org,935-578-6833x61770,+1-557-350-1390x164
,['nl'],Information,Lam.Gynecologic@dept.healthcare.org,(061)-5012116,0411 389532,"['de', 'en']",Information,Smith.Radiography@dept.healthcare.org,736.858.0559x7376,+1-441-795-0924
,"['nl', 'en']",Information,BuckBurke.Pulmonary@dept.healthcare.org,+31300-477006,0520 195182,"['et', 'en']",Billing,Austin@healthcare.et,8826759451,416-588-2223
,['nl'],Emergency,Chan.Gastroenterologic@dept.healthcare.org,+31(0)639-636510,+31(0)40-3753150,['nl'],Staff,SantanaShaw.Urolgoic@dept.healthcare.org,+31326 713312,(079) 4630887
,"['nl', 'en']",Referrals,ValenciaThomas.Endocrine@dept.healthcare.org,(058)-7351419,(041) 0559302,['de'],Information,Cook.Community@dept.healthcare.de,001-746-576-8721x0996,350-227-5088
,['de'],Referrals,Newton.Community@dept.healthcare.org,287.724.1988,+1-586-358-7107,"['de', 'en']",Personal,Guerrero.Physiotherapy@dept.healthcare.org,+1-540-271-5120,356.276.1728
,['nl'],Staff,FaulknerHoward.Primary@dept.healthcare.org,(0524)-583375,(051) 8323639,['nl'],Staff,BuckBurke.Dentisrty@dept.healthcare.org,032 3614982,055 4410510
,['de'],Emergency,Baker.Genetic@dept.healthcare.org,(973)655-6902x675,001-958-733-1999x824,['de'],Information,ReedFry.Optometric@dept.healthcare.org,(443)232-1659x744,+1-530-330-4080x58378
,"['et', 'en']",Appointments,Brady.Toxicologic@dept.healthcare.org,553-308-3780x650,9047689415,['de'],Referrals,Smith.Gastrooenterologic@dept.healthcare.org,001-414-790-6456,001-545-371-0054x6936
,"['de', 'en']",Administrative,Baker@healthcare.org,001-617-585-5103x374,820-929-8300,"['et', 'en']",Referrals,Carter.Optometric@dept.healthcare.et,294-440-9541x0907,518.996.4982x3071
,['de'],Referrals,Smith.Plastic@dept.healthcare.org,(718)257-9199,617.520.9250,"['de', 'en']",Emergency,Bakerr.Cardiovascular@dept.healthcare.org,+1-347-793-9685x69840,(910)368-8779x391
,['de'],Referrals,Smith.Gastroenterologic@dept.healthcare.org,001-414-790-6456,001-545-371-0054x6936,"['et', 'en']",hÃ¤daolukord,Arnold.Speech@dept.healthcare.org,633-885-3094x4978,563.621.3624x987
,['nl'],Staff,PriceRobinson.Dentistry@dept.healthcare.org,009 5894508,0257 193634,"['nl', 'en']",Referrals,Nash.Neurologic@dept.healthcare.nl,+31(0)67-3412904,+31(0)903-976622
,['de'],Staff,Baker.Urologic@dept.healthcare.org,(233)265-2900,(629)875-5172x249,"['de', 'en']",Information,LopezKey.Midwdifery@dept.healthcare.org,345-327-5051,4776198027
,['de'],Information,Garcia.Gynecologic@dept.healthcare.org,708.746.3819,(891)563-5112x43236,['de'],Information,Baker.Podiatric@dept.healthcare.org,278-400-1316,993-475-1775x08313
,"['de', 'en']",Staff,ReedFry.Neurologic@dept.healthcare.org,(454)262-6764x3430,501.828.4795x741,"['nl', 'en']",Referrals,PriceRobinson.Rheumatologic@dept.healthcare.nl,+31(0)86 3381050,0901-133345
,"['de', 'en']",Information,Smith.Radiography@dept.healthcare.org,736.858.0559x7376,+1-441-795-0924,"['et', 'en']",Staff,Fimsher.Public@dept.healthcare.org,+1-559-950-7694,(383)248-6763
,['de'],Referrals,LeePatton.Pediatric@dept.healthcare.org,(838)551-1985x8596,352-599-1118,['nl'],Emergency,ValenciaThormas.Geriatric@dept.healthcare.org,067-0090355,+31(0)16-6103758
,"['et', 'en']",Emergency,Arnold.Speech@dept.healthcare.org,633-885-3094x4978,563.621.3624x987,"['et', 'en']",suunamine,Brady.Endocrine@dept.healthcare.org,001-900-504-7180,347.571.9451x65015
,"['nl', 'en']",Appointments,FaulknerHoward.Midwifery@dept.healthcare.org,(0695) 410390,(046)-8811970,"['et', 'en']",hÃ¤daolukord,Green.Urologic@dept.healthcare.org,643.515.7458,(778)908-5327
,"['nl', 'en']",Appointments,SantanaShaw.Urologic@dept.healthcare.org,+31(0)56 2847314,(099)-0102983,['et'],General Inquiries,Green@healthcare.et,275.615.9179x533,886-684-8339
,['de'],Information,Garcia.Pulmonary@dept.healthcare.org,520.890.7788,519-441-3491x16725,"['de', 'en']",Staff,Smith.Rheumatloogic@dept.healthcare.org,+1-607-584-5704x04432,731-869-9906
,['de'],Staff,Baker.Gastroenterologic@dept.healthcare.org,(230)733-7758x92537,584-725-0107,"['et', 'en']",Information,Arnold.Renal@dept.healthcare.et,5366036318,424-377-9740x712
,"['et', 'en']",Emergency,Daniel.Surgical@dept.healthcare.org,(417)435-0278x7680,871.274.3660,"['de', 'en']",Staff,Garcia.Primary@dept.healthcare.de,8263505589,416.261.9485
,['de'],Referrals,Williams.Dentistry@dept.healthcare.org,+1-589-928-6405x208,001-318-412-2405,"['nl', 'en']",Referrals,ValenciaThomas.Endocrine@dept.healthcare.nl,(058)-7351419,(041) 0559302
,"['nl', 'en']",Information,Chan.Endocrine@dept.healthcare.org,074-3882542,+31(0)38 7027910,['de'],Personal,GibbsReese.Laboratory@dept.healthcare.org,+1-569-375-8884x869,646.346.6651x804
,['nl'],Emergency,Riggs.Geriatric@dept.healthcare.org,+3139 9880320,+3110 1269407,"['nl', 'en']",Staff,Nash.Gynnecologic@dept.healthcare.org,025 5318724,(0221) 772442
,['de'],Emergency,Williams.Gastroenterologic@dept.healthcare.org,319-438-1357,(844)892-6012,"['de', 'en']",Information,Obrien.Otolaryngologic@dept.healthcare.de,001-561-288-0097x06829,(650)873-8401x041
,"['de', 'en']",Appointments,Smith.Speech@dept.healthcare.org,815-467-9103x12707,891.719.2729x010,['et'],personal,Mathis.Psychiatric@dept.healthcare.org,935-578-6833x61770,+1-557-350-1390x164
,['nl'],Emergency,Riggs.Pulmonary@dept.healthcare.org,+31(0)641 894827,(074)-6598211,"['et', 'en']",ametisse nimetamine,Carter.Cardiovascular@dept.healthcare.org,504.730.3584x06533,(576)959-0019x977
,['de'],Appointments,Smith.Speech@dept.healthcare.org,313-281-1819,+1-916-238-0262x16583,"['et', 'en']",Information,Austin.Rheumatologic@dept.healthcare.et,(853)964-3273x56003,651-245-5602x2960
,"['nl', 'en']",Administrative,SantanaShaw@healthcare.org,(000) 2489451,+31634 896769,"['et', 'en']",haldus-,Carter@healthcare.org,951-537-5806x6065,4618126486
,['de'],Appointments,Garcia.Anesthesia@dept.healthcare.org,+1-208-361-6405x0051,9987000694,"['et', 'en']",Referrals,Garrett.Podiatriic@dept.healthcare.org,364-678-0347x103,936.734.8282
,['de'],Information,Garcia.Podiatric@dept.healthcare.org,(629)287-1395,672.893.9656,"['de', 'en']",Appointments,Johnson.Cardiovascular@dept.healthcare.de,+1-577-817-7002x6210,001-239-652-6514x45185
,['et'],Information,Daniel.Dentistry@dept.healthcare.org,(203)528-0312,507-800-2072,['de'],Ãberweisungen,GibbsReese.Gastroenterologic@dept.healthcare.org,596.854.9487,602.202.8187x957
,"['de', 'en']",Appointments,Johnson.Cardiovascular@dept.healthcare.org,+1-577-817-7002x6210,001-239-652-6514x45185,['et'],Referrals,Austin.Hemaotlogic@dept.healthcare.org,(257)436-7809,001-888-387-2858x8598
,"['nl', 'en']",Staff,BuckBurke.Pathology@dept.healthcare.org,+31(0)62-6422329,060 0853882,"['nl', 'en']",Emergency,PriceRobinson.Respiratory@dept.healthcare.nl,+31(0)97-1305645,0740 190587
,"['nl', 'en']",Staff,Chan.Toxicologic@dept.healthcare.org,(0186) 180455,(089)-6304883,"['et', 'en']",hÃ¤daolukord,Green.Urologic@dept.healthcare.org,643.515.7458,(778)908-5327
,"['et', 'en']",Information,Carter.Pulmonary@dept.healthcare.org,001-346-443-2133x440,491.388.2159,"['et', 'en']",Information,Bishop.Otolarynglogic@dept.healthcare.org,+1-223-450-5181x3575,262.804.0716
,"['et', 'en']",Appointments,Garrett.Otolaryngologic@dept.healthcare.org,802-509-8453,3928436755,"['et', 'en']",Referrals,Garrett.Podiatriic@dept.healthcare.org,364-678-0347x103,936.734.8282
,['nl'],Billing,ValenciaThomas@healthcare.org,(035)-5645641,(054)-6921658,"['nl', 'en']",Information,FaulknerHoward.Speech@dept.healthcare.nl,(045) 8771652,(082) 4906649
,['et'],Staff,Austin.Psychiatric@dept.healthcare.org,743-658-1950x5910,001-403-489-0102x079,"['de', 'en']",Referrals,Johnson.Gnecologic@dept.healthcare.org,(704)280-9843x0781,+1-684-878-6942
,['nl'],Emergency,Chan.Diet@dept.healthcare.org,+3146 3195626,(0953) 248826,"['de', 'en']",Staff,Newton.Dermatology@dept.healthcare.de,657-519-9209x1630,247-766-5676x30145
,['et'],Referrals,Daniel.Primary@dept.healthcare.org,9322973887,688.430.5334x4664,"['et', 'en']",Staff,Austin.Spurgical@dept.healthcare.org,595-499-9067x12703,+1-560-464-8118
,['nl'],Information,Lam.Gynecologic@dept.healthcare.org,(061)-5012116,0411 389532,"['et', 'en']",hÃ¤daolukord,Bishop.Endocrine@dept.healthcare.org,733.591.6805x084,(676)411-4213x94209
,"['et', 'en']",Emergency,Arnold.Nursing@dept.healthcare.org,375-594-9393,+1-660-751-7435x7670,"['de', 'en']",Information,LopezKey.Midwdifery@dept.healthcare.org,345-327-5051,4776198027
,"['nl', 'en']",Information,WilliamsWilliams.Gastroenterologic@dept.healthcare.org,0530-539813,(054)-1527076,['nl'],noodgeval,Chan.Surgical@dept.healthcare.org,(0952) 163399,(042) 3373345
,['et'],Appointments,Green.Public@dept.healthcare.org,311.518.0985,960-710-5249x87486,"['nl', 'en']",Emergency,PriceRobinson.Respiratory@dept.healthcare.nl,+31(0)97-1305645,0740 190587
,"['nl', 'en']",Appointments,PriceRobinson.Musculoskeletal@dept.healthcare.org,+31(0)095-224292,032 1567698,['nl'],Emergency,Riggs.Pulmonary@dept.healthcare.org,+31(0)641 894827,(074)-6598211
,['de'],Information,Cook.Pulmonary@dept.healthcare.org,382-494-9741,759.370.5975x4947,"['et', 'en']",personal,Bishop.Plastic@dept.healthcare.org,001-264-815-9757x8939,588.804.1578x19735
,['nl'],Referrals,WilliamsWilliams.Endocrine@dept.healthcare.org,+3148-0052135,+31486-719061,['et'],Staff,Arrnold.Dermatology@dept.healthcare.org,+1-286-771-2721x647,799.475.4308x95127
,['et'],Staff,LongMartinez.Primary@dept.healthcare.org,286.250.6068,819.719.8417,"['nl', 'en']",Referrals,Nash.cGastroenterologic@dept.healthcare.org,+31(0)082 111913,0090 292719
,['et'],Information,Fisher.Genetic@dept.healthcare.org,5434557439,695.588.1376x68944,"['et', 'en']",teave,Green.Community@dept.healthcare.org,+1-892-897-5956x928,001-237-952-0782x64973
,['et'],Appointments,Arnold.Geriatric@dept.healthcare.org,287-722-8674,001-571-361-8056,['et'],teave,Fisher.Emergency@dept.healthcare.org,(496)890-6515x83885,349-582-8740
,"['nl', 'en']",Appointments,PriceRobinson.Obstetric@dept.healthcare.org,0879 859362,(031)-9509423,['de'],Appointments,Smith.Speech@dept.healthcare.de,313-281-1819,+1-916-238-0262x16583
,"['de', 'en']",Referrals,Cook.Anesthesia@dept.healthcare.org,220-594-6820x8668,+1-981-413-7263x57452,"['nl', 'en']",Information,WilliamsWilliams.Gastroenterologic@dept.healthcare.nl,0530-539813,(054)-1527076
,['de'],Appointments,Cook.Endocrine@dept.healthcare.org,508-546-0002,001-408-652-2873x3602,"['nl', 'en']",Emergency,FaulknerHoward.Toxicoloigc@dept.healthcare.org,0270 452519,059-3880588
,['nl'],Appointments,ValenciaThomas.Otolaryngologic@dept.healthcare.org,(064) 3422451,(0563) 689219,['nl'],Staff,PriceRobinson..Emergency@dept.healthcare.org,+3113 1233851,(0361) 141526
,"['et', 'en']",Appointments,Garrett.Otolaryngologic@dept.healthcare.org,802-509-8453,3928436755,"['nl', 'en']",Appointments,Chan.Rhematologic@dept.healthcare.org,0759-981290,+31(0)73 0808776
,['nl'],Staff,FaulknerHoward.Primary@dept.healthcare.org,(0524)-583375,(051) 8323639,"['nl', 'en']",Administrative,SantanaaShaw@healthcare.org,(000) 2489451,+31634 896769
,"['de', 'en']",Appointments,Johnson.Cardiovascular@dept.healthcare.org,+1-577-817-7002x6210,001-239-652-6514x45185,"['nl', 'en']",Referrals,ValenciaThomas.Endocrine@dept.healthcare.nl,(058)-7351419,(041) 0559302
,"['de', 'en']",Appointments,ReedFry.Endocrine@dept.healthcare.org,797.626.1494x025,+1-274-335-9196,['nl'],verwijzingen,Nash.Nursing@dept.healthcare.org,041 5604324,053 6068424
,"['nl', 'en']",Appointments,FaulknerHoward.Midwifery@dept.healthcare.org,(0695) 410390,(046)-8811970,"['et', 'en']",hÃ¤daolukord,Arnold.Nursing@dept.healthcare.org,375-594-9393,+1-660-751-7435x7670
,['et'],Staff,Austin.Psychiatric@dept.healthcare.org,743-658-1950x5910,001-403-489-0102x079,"['et', 'en']",hÃ¤daolukord,Arnold.Speech@dept.healthcare.org,633-885-3094x4978,563.621.3624x987
,['et'],General Inquiries,Brady@healthcare.org,610-587-3176,547.779.3615x34926,"['et', 'en']",suunamine,Mathis.Toxicologic@dept.healthcare.org,(532)537-9645x24465,538.395.0218x13265
,['nl'],Information,SantanaShaw.Primary@dept.healthcare.org,+3122 5638455,048-5521781,['et'],General Inquiries,Azrnold@healthcare.org,795-239-8522,600.540.4943x8856
,"['de', 'en']",Emergency,Newton.Endocrine@dept.healthcare.org,9515762700,964-588-3497x992,['de'],Referrals,Cook.Urologic@dept.healthcare.de,001-422-797-1434,001-352-890-0420
,"['nl', 'en']",Referrals,Lam.Urologic@dept.healthcare.org,+31(0)840-500035,+31(0)888 996052,"['et', 'en']",teave,Bishop.Infectious@dept.healthcare.org,3486296654,838.506.7347x8750
,"['nl', 'en']",Appointments,BuckBurke.Laboratory@dept.healthcare.org,+3130 4299423,(097)-6025894,"['et', 'en']",ametisse nimetamine,Brady.Toxicologic@dept.healthcare.org,553-308-3780x650,9047689415
,"['nl', 'en']",Appointments,WilliamsWilliams.Oncologic@dept.healthcare.org,+31(0)943-281583,+3105-5131860,"['de', 'en']",Information,Obrien.Otolaryngologic@dept.healthcare.de,001-561-288-0097x06829,(650)873-8401x041
,['nl'],Information,Lam.Gynecologic@dept.healthcare.org,(061)-5012116,0411 389532,"['et', 'en']",personal,Bishop.Plastic@dept.healthcare.org,001-264-815-9757x8939,588.804.1578x19735
,"['de', 'en']",Staff,Garcia.Primary@dept.healthcare.org,8263505589,416.261.9485,['de'],Ãberweisungen,Johnson.Rheumatologic@dept.healthcare.org,957-952-6620x65098,(767)407-7108
